"","Method","Noise","Choice","Measure","Mean","S.d."
"244","iSSVD","20","Overall","F_score",0,0
"245","iSSVD","20","Overall","BiS",0,0
"246","iSSVD","30","Overall","CSR",0.166666666666667,0
"247","iSSVD","30","Overall","Rel",0,0
"248","iSSVD","30","Overall","Rec",0,0
"249","iSSVD","30","Overall","F_score",0,0
"250","iSSVD","30","Overall","BiS",0,0
"251","iSSVD","40","Overall","CSR",0.166666666666667,0
"252","iSSVD","40","Overall","Rel",0,0
"253","iSSVD","40","Overall","Rec",0,0
"254","iSSVD","40","Overall","F_score",0,0
"255","iSSVD","40","Overall","BiS",0,0
"256","iSSVD","50","Overall","CSR",0.166666666666667,0
"257","iSSVD","50","Overall","Rel",0,0
"258","iSSVD","50","Overall","Rec",0,0
"259","iSSVD","50","Overall","F_score",0,0
"260","iSSVD","50","Overall","BiS",0,0
"261","iSSVD","60","Overall","CSR",0.166666666666667,0
"262","iSSVD","60","Overall","Rel",0,0
"263","iSSVD","60","Overall","Rec",0,0
"264","iSSVD","60","Overall","F_score",0,0
"265","iSSVD","60","Overall","BiS",0,0
"266","iSSVD","70","Overall","CSR",0.166666666666667,0
"267","iSSVD","70","Overall","Rel",0,0
"268","iSSVD","70","Overall","Rec",0,0
"269","iSSVD","70","Overall","F_score",0,0
"270","iSSVD","70","Overall","BiS",0,0
"271","iSSVD","80","Overall","CSR",0.166666666666667,0
"272","iSSVD","80","Overall","Rel",0,0
"273","iSSVD","80","Overall","Rec",0,0
"274","iSSVD","80","Overall","F_score",0,0
"275","iSSVD","80","Overall","BiS",0,0
"276","iSSVD","90","Overall","CSR",0.166666666666667,0
"277","iSSVD","90","Overall","Rel",0,0
"278","iSSVD","90","Overall","Rec",0,0
"279","iSSVD","90","Overall","F_score",0,0
"280","iSSVD","90","Overall","BiS",0,0
"281","iSSVD","100","Overall","CSR",0.166666666666667,0
"282","iSSVD","100","Overall","Rel",0,0
"283","iSSVD","100","Overall","Rec",0,0
"284","iSSVD","100","Overall","F_score",0,0
"285","iSSVD","100","Overall","BiS",0,0
"286","NMTF","1","Overall","CSR",0.999111111111111,0.00668721114269176
"287","NMTF","1","Overall","Rel",0.995008622301401,0.00742124037200871
"288","NMTF","1","Overall","Rec",0.994640684991797,0.0107274515054068
"289","NMTF","1","Overall","F_score",0.994810935788686,0.0091764760354854
"290","NMTF","1","Overall","BiS",0.674261445091719,0.00821656560386264
"291","NMTF","2","Overall","CSR",0.996759259259259,0.0111496246099929
"292","NMTF","2","Overall","Rel",0.957234804924904,0.0190316307409412
"293","NMTF","2","Overall","Rec",0.954316425190526,0.0301301473694084
