month,tmax,tmin,af,rain,sun,season
5,18.0,9.6,0,87.2,202.9,1
6,21.0,12.8,0,19.2,169.5,2
7,21.0,12.8,0,52.8,174.7,2
8,23.2,14.0,0,32.3,211.4,2
9,20.1,12.5,0,105.8,132.1,3
10,14.7,8.5,0,155.4,98.0,3
11,11.0,4.5,1,99.5,74.9,3
12,9.0,4.6,5,73.9,50.0,0
1,7.1,1.8,9,75.2,87.0,0
2,9.2,2.8,5,69.6,92.3,0
3,9.5,3.8,3,95.3,78.2,1
4,12.8,5.4,0,66.5,138.5,1
5,18.8,9.1,0,26.0,228.0,1
6,20.8,11.3,0,39.1,248.0,2
7,24.3,14.5,0,35.2,229.1,2
8,23.5,14.5,0,79.0,210.9,2
9,18.1,10.8,0,59.6,143.3,3
10,17.6,11.3,0,108.2,109.9,3
11,11.3,4.4,3,33.8,88.3,3
12,7.3,1.4,11,17.8,93.3,0
1,9.5,3.5,6,51.0,53.4,0
2,11.3,4.8,2,64.0,91.4,0
3,12.4,5.1,2,37.6,111.3,1
4,15.7,6.1,0,38.4,220.5,1
5,17.3,9.4,0,66.4,192.2,1
6,20.1,11.6,0,74.2,191.5,2
7,22.3,13.5,0,67.2,193.9,2
8,23.3,14.7,0,36.3,190.4,2
9,20.3,11.5,0,20.0,178.2,3
10,15.3,8.4,0,61.6,109.2,3
11,12.4,7.0,0,151.0,66.1,3
12,9.0,5.2,0,119.0,34.1,0
1,8.0,2.3,10,73.6,93.6,0
2,8.4,1.8,10,20.8,101.2,0
3,13.6,4.4,0,16.4,176.9,1
4,15.7,6.3,3,30.0,198.0,1
5,18.2,9.0,0,39.1,205.5,1
6,23.3,13.3,0,47.6,245.5,2
7,24.2,14.7,0,28.8,213.9,2
8,26.4,15.7,0,10.4,255.3,2
9,21.9,10.8,0,8.4,206.7,3
10,14.5,6.4,0,35.2,160.7,3
11,12.6,6.7,1,113.8,88.2,3
12,8.8,3.2,3,51.4,58.0,0
1,8.8,3.1,8,71.9,64.0,0
2,8.7,3.8,7,26.2,65.3,0
3,10.8,3.9,3,29.5,102.7,1
4,14.9,6.3,0,68.8,155.0,1
5,18.2,9.5,0,45.0,208.2,1
6,22.1,12.6,0,40.4,236.0,2
7,22.7,13.3,0,37.6,201.5,2
8,23.8,15.1,0,107.8,213.3,2
9,20.8,12.5,0,18.8,182.7,3
10,15.3,9.1,0,96.6,101.2,3
11,11.2,6.2,2,29.6,60.8,3
12,8.8,2.9,5,46.4,48.2,0
1,9.5,3.8,1,21.6,72.1,0
2,7.3,2.5,7,19.7,62.4,0
3,11.5,4.5,7,43.6,96.7,1
4,14.6,6.2,1,30.0,153.0,1
5,17.7,8.5,0,19.8,228.3,1
6,22.8,12.9,0,32.6,219.3,2
7,23.3,14.1,0,45.8,202.5,2
8,23.2,13.0,0,42.4,250.4,2
9,21.4,12.7,0,47.5,143.9#,3
10,17.8,11.3,0,73.4,89.9#,3
11,10.7,3.5,8,29.2,93.3#,3
12,8.2,1.9,8,44.4,65.7#,0
1,7.6,2.9,6,16.8,51.4#,0
2,7.2,1.7,5,41.2,62.9#,0
3,9.4,2.8,10,44.6,91.2#,1
4,14.1,6.0,0,33.4,132.3#,1
5,18.0,9.8,0,91.6,128.2#,1
6,23.7,12.9,0,11.8,225.3#,2
